year,age,sex,dimd,pop_size
2002,0,men,1 most deprived,38949
2002,0,men,2,34432
2002,0,men,3,31234
2002,0,men,4,28148
2002,0,men,5,26399
2002,0,men,6,25950
2002,0,men,7,25309
2002,0,men,8,25152
2002,0,men,9,25276
2002,0,men,10 least deprived,25226
2002,0,women,1 most deprived,37218
2002,0,women,2,33577
2002,0,women,3,29796
2002,0,women,4,26724
2002,0,women,5,25031
2002,0,women,6,24798
2002,0,women,7,24178
2002,0,women,8,23694
2002,0,women,9,24261
2002,0,women,10 least deprived,23720
2002,1,men,1 most deprived,37707
2002,1,men,2,33248
2002,1,men,3,29737
2002,1,men,4,27734
2002,1,men,5,26311
2002,1,men,6,25903
2002,1,men,7,25616
2002,1,men,8,25917
2002,1,men,9,26208
2002,1,men,10 least deprived,26794
2002,1,women,1 most deprived,36559
2002,1,women,2,32218
2002,1,women,3,28731
2002,1,women,4,26557
2002,1,women,5,25335
2002,1,women,6,24799
2002,1,women,7,24646
2002,1,women,8,24596
2002,1,women,9,25115
2002,1,women,10 least deprived,25457
2002,2,men,1 most deprived,38454
2002,2,men,2,33958
2002,2,men,3,30234
2002,2,men,4,28110
2002,2,men,5,26989
2002,2,men,6,27017
2002,2,men,7,26801
2002,2,men,8,26642
2002,2,men,9,27614
2002,2,men,10 least deprived,28044
2002,2,women,1 most deprived,36469
2002,2,women,2,32697
2002,2,women,3,29036
2002,2,women,4,27129
2002,2,women,5,25845
2002,2,women,6,25721
2002,2,women,7,25295
2002,2,women,8,25445
2002,2,women,9,26098
2002,2,women,10 least deprived,26818
2002,3,men,1 most deprived,38265
2002,3,men,2,34672
2002,3,men,3,31077
2002,3,men,4,28927
2002,3,men,5,27769
2002,3,men,6,27832
2002,3,men,7,27220
2002,3,men,8,27666
2002,3,men,9,28556
2002,3,men,10 least deprived,29644
2002,3,women,1 most deprived,36821
2002,3,women,2,33015
2002,3,women,3,29923
2002,3,women,4,27788
2002,3,women,5,26512
2002,3,women,6,26331
2002,3,women,7,26163
2002,3,women,8,26072
2002,3,women,9,26902
2002,3,women,10 least deprived,28285
2002,4,men,1 most deprived,38431
2002,4,men,2,35248
2002,4,men,3,31442
2002,4,men,4,29402
2002,4,men,5,28728
2002,4,men,6,28064
2002,4,men,7,27897
2002,4,men,8,27918
2002,4,men,9,28915
2002,4,men,10 least deprived,30414
2002,4,women,1 most deprived,37026
2002,4,women,2,33686
2002,4,women,3,30167
2002,4,women,4,28017
2002,4,women,5,26900
2002,4,women,6,26827
2002,4,women,7,26564
2002,4,women,8,26988
2002,4,women,9,27600
2002,4,women,10 least deprived,29171
2002,5,men,1 most deprived,40271
2002,5,men,2,35990
2002,5,men,3,32491
2002,5,men,4,30207
2002,5,men,5,29215
2002,5,men,6,29030
2002,5,men,7,28514
2002,5,men,8,28439
2002,5,men,9,29771
2002,5,men,10 least deprived,31005
2002,5,women,1 most deprived,38154
2002,5,women,2,34766
2002,5,women,3,31197
2002,5,women,4,28703
2002,5,women,5,27946
2002,5,women,6,27711
2002,5,women,7,26967
2002,5,women,8,26870
2002,5,women,9,27883
2002,5,women,10 least deprived,29690
2002,6,men,1 most deprived,38953
2002,6,men,2,35643
2002,6,men,3,32289
2002,6,men,4,29969
2002,6,men,5,28878
2002,6,men,6,28472
2002,6,men,7,28718
2002,6,men,8,28551
2002,6,men,9,29889
2002,6,men,10 least deprived,31561
2002,6,women,1 most deprived,37427
2002,6,women,2,34006
2002,6,women,3,30664
2002,6,women,4,28286
2002,6,women,5,27459
2002,6,women,6,27337
2002,6,women,7,26986
2002,6,women,8,27183
2002,6,women,9,28008
