year,dimd,sex,cod,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+  
2016,1,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,1,0,0,0,0,0,1,1,3,13,22,27,32,42,41,39,27,20,13
2016,1,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,0,5,4,12,17,23,47,43,96,106,100,115,68,35
2016,1,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,1,1,5,18,20,61,105,134,200,198,184,143,93,64
2016,1,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,3,3,1,2,4,5,6,7,10,11,18,36,35,72,53,90,60,44,25
2016,1,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,2,1,3,18,47,81,145,260,380,379,330,287,161,62
2016,1,Male,06 Malignant neoplasm of prostate,0,0,0,0,0,0,0,0,0,0,4,4,22,45,51,94,123,123,122,106
2016,1,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0
2016,1,Male,09 All other cancers (C00-D48),0,2,3,3,5,9,11,16,16,27,56,83,131,214,262,288,275,232,181,89
2016,1,Male,10 Diseases of the respiratory system,9,3,2,3,3,7,8,10,19,44,61,100,189,302,427,550,602,666,554,417
2016,1,Male,11 Diabetes,0,0,0,0,2,4,5,3,1,9,10,15,16,28,27,28,34,64,42,20
2016,1,Male,12 Ischaemic heart disease,0,0,0,0,0,0,2,13,33,64,114,206,310,381,500,508,537,529,422,225
2016,1,Male,13 Stroke (cerebrovascular),2,1,0,2,0,0,2,2,16,6,26,38,62,66,121,142,185,208,200,135
2016,1,Male,14 Other circulatory,3,3,2,3,5,3,13,15,20,58,74,74,103,129,187,234,244,235,221,201
2016,1,Male,15 Intentional injuries,0,0,0,0,15,49,42,50,32,51,45,53,34,19,12,7,8,3,4,1
2016,1,Male,16 Unintentional injuries,4,6,2,9,13,25,29,30,51,54,52,45,38,37,43,35,64,72,82,62
2016,1,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,0,1,11,24,94,257,433,514,445
2016,1,Male,18 All other causes,76,25,7,6,22,50,91,138,199,270,369,356,362,342,381,319,363,448,402,352
2016,1,Male,19 Neonatal,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,1,0,0,0,0,0,0,0,1,2,8,11,22,26,34,31,18,25,11
2016,1,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,1,0,3,3,6,12,16,37,28,40,57,72,94,84,62
2016,1,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,1,0,8,4,7,24,34,56,78,89,134,136,139,111,74
2016,1,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,1,1,3,0,2,1,1,3,1,5,20,15,23,39,38,61,61,59,26
2016,1,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,1,0,1,1,14,29,65,141,184,271,312,281,212,147,77
2016,1,Female,07 Malignant neoplasm of breast,0,0,0,0,0,0,1,6,13,20,49,60,67,63,92,71,78,87,65,59
2016,1,Female,08 Cervical Cancer,0,0,0,0,0,0,2,8,7,9,11,11,11,14,10,5,11,8,4,2
2016,1,Female,09 All other cancers (C00-D48),2,6,0,4,0,2,9,9,14,33,54,83,119,161,186,218,232,241,216,162
2016,1,Female,10 Diseases of the respiratory system,6,8,2,1,2,3,5,13,8,33,42,99,127,220,353,439,599,695,724,821
2016,1,Female,11 Diabetes,0,0,0,0,0,0,2,0,4,3,9,5,17,20,15,25,38,63,48,51
2016,1,Female,12 Ischaemic heart disease,0,0,0,0,0,0,0,4,11,18,31,63,75,138,205,220,294,405,386,443
2016,1,Female,13 Stroke (cerebrovascular),0,1,0,0,1,0,3,2,5,17,32,30,38,52,68,118,179,249,331,397
2016,1,Female,14 Other circulatory,3,2,0,1,3,8,5,8,8,23,43,51,54,75,101,153,230,325,382,497
2016,1,Female,15 Intentional injuries,1,1,0,0,9,11,14,16,10,10,17,8,7,6,2,2,2,0,1,1
2016,1,Female,16 Unintentional injuries,1,3,2,2,2,8,9,10,16,12,29,21,16,21,26,29,55,79,72,91
2016,1,Female,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,1,7,11,38,93,251,570,961,"1,273"
2016,1,Female,18 All other causes,76,12,7,9,18,23,47,78,107,120,197,197,187,238,243,274,391,508,607,893
2016,1,Female,19 Neonatal,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,0,0,0,1,0,1,1,10,19,21,26,37,43,37,26,24,8
2016,2,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,1,2,6,8,10,27,38,59,87,86,113,90,72,36
2016,2,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,1,0,1,8,13,30,63,92,116,191,181,172,152,110,51
2016,2,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,3,1,3,3,3,2,0,6,11,16,18,22,38,64,72,69,73,50,31
2016,2,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,2,1,2,8,20,64,108,174,301,299,333,257,169,58
2016,2,Male,06 Malignant neoplasm of prostate,0,0,0,0,0,0,0,0,0,0,0,10,23,34,66,86,115,142,127,126
2016,2,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,1,0
2016,2,Male,09 All other cancers (C00-D48),0,2,4,2,7,8,6,17,15,33,48,106,133,145,247,261,244,233,193,131
2016,2,Male,10 Diseases of the respiratory system,4,2,1,1,4,2,6,6,8,22,41,61,116,188,358,426,608,673,591,544
2016,2,Male,11 Diabetes,0,0,0,1,0,1,1,3,6,9,7,13,17,21,22,31,35,50,51,38
2016,2,Male,12 Ischaemic heart disease,0,0,0,0,1,0,5,15,13,52,100,165,249,261,423,414,487,487,418,278
2016,2,Male,13 Stroke (cerebrovascular),2,0,0,1,1,3,5,1,6,12,27,39,40,63,87,119,206,226,212,182
2016,2,Male,14 Other circulatory,0,2,3,2,1,5,5,11,18,33,44,69,98,104,139,205,232,260,236,246
2016,2,Male,15 Intentional injuries,1,0,0,0,11,30,41,36,41,39,41,45,32,13,6,6,7,8,6,0
2016,2,Male,16 Unintentional injuries,3,2,1,3,9,28,35,39,25,48,37,52,29,38,52,39,63,76,62,77
2016,2,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,0,2,10,34,106,237,406,565,521
2016,2,Male,18 All other causes,65,11,14,8,17,36,60,122,105,180,261,259,304,289,316,304,361,449,405,388
2016,2,Male,19 Neonatal,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,1,0,0,0,0,0,2,0,4,4,6,17,24,24,29,31,23,18
2016,2,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,1,1,2,9,5,13,18,25,31,50,50,64,81,85,65
2016,2,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,1,2,1,7,14,27,39,69,108,97,122,136,135,94
2016,2,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,1,1,1,2,3,2,6,2,6,9,13,17,24,47,53,60,76,66,36
2016,2,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,1,0,3,9,22,71,94,140,231,253,271,244,162,102
2016,2,Female,07 Malignant neoplasm of breast,0,0,0,0,0,0,4,5,13,20,48,64,75,62,85,91,102,98,86,110
2016,2,Female,08 Cervical Cancer,0,0,0,0,0,1,3,4,3,8,8,8,11,10,8,11,10,5,5,2
2016,2,Female,09 All other cancers (C00-D48),1,1,0,5,4,5,7,14,21,28,37,66,111,139,178,200,271,250,222,187
2016,2,Female,10 Diseases of the respiratory system,3,4,1,4,1,4,7,5,9,23,32,53,95,143,263,379,483,611,700,871
2016,2,Female,11 Diabetes,0,0,0,0,1,0,1,0,3,3,7,6,7,15,19,27,42,55,54,68
2016,2,Female,12 Ischaemic heart disease,0,0,0,0,0,0,1,2,1,3,25,37,54,127,126,202,287,396,469,468
2016,2,Female,13 Stroke (cerebrovascular),0,0,0,0,1,0,4,3,8,7,18,32,37,36,71,103,193,304,334,426
2016,2,Female,14 Other circulatory,3,3,1,0,0,3,8,5,11,10,31,36,50,74,94,134,223,310,442,568
2016,2,Female,15 Intentional injuries,1,0,0,0,3,14,6,15,5,11,9,17,6,7,2,1,1,4,0,0
2016,2,Female,16 Unintentional injuries,3,2,3,3,3,6,9,12,14,15,11,11,9,16,24,29,53,87,107,128
2016,2,Female,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,0,4,13,38,117,276,600,"1,079","1,766"
2016,2,Female,18 All other causes,45,19,6,10,16,26,29,41,69,99,130,165,183,174,232,263,335,508,642,"1,082"
2016,2,Female,19 Neonatal,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,0,1,0,0,1,1,3,2,17,18,26,42,45,51,34,23,7
2016,3,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,1,1,6,6,6,14,21,22,65,85,96,100,96,83,57
2016,3,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,1,3,4,12,25,53,91,110,172,175,208,172,117,67
2016,3,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,2,1,1,1,3,3,5,3,5,11,15,37,43,63,68,89,83,54,39
2016,3,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,2,1,11,27,62,103,154,263,298,308,260,153,59
2016,3,Male,06 Malignant neoplasm of prostate,1,0,0,0,0,0,0,0,0,0,1,7,14,23,71,88,146,169,155,119
2016,3,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,2,0,0
2016,3,Male,09 All other cancers (C00-D48),1,4,3,4,3,9,2,7,13,24,47,79,102,142,231,229,245,271,199,134
2016,3,Male,10 Diseases of the respiratory system,3,4,1,0,5,0,4,8,8,27,35,65,105,178,306,392,518,642,636,531
2016,3,Male,11 Diabetes,0,0,0,0,1,2,0,3,3,7,9,16,15,23,25,33,50,54,51,47
