year,sex,dimd,age,deaths,pop_size,mx
2001,men,1 most deprived,0,371,37054,0.0100124143142441
2001,men,2,0,296,33270,0.00889690411782387
2001,men,3,0,197,30010,0.00656447850716428
2001,men,4,0,156,28302,0.00551197795208819
2001,men,5,0,129,26927,0.00479073049355665
2001,men,6,0,109,25708,0.00423992531507702
2001,men,7,0,126,25615,0.00491899277766933
2001,men,8,0,118,25419,0.00464219678193477
2001,men,9,0,100,25975,0.00384985563041386
2001,men,10 least deprived,0,104,26442,0.00393313667649951
2002,men,1 most deprived,0,379,38608,0.00981661831744716
2002,men,2,0,283,34471,0.0082097995416437
2002,men,3,0,207,30854,0.00670901665910417
2002,men,4,0,186,28522,0.00652128181754435
2002,men,5,0,128,26767,0.00478200769604364
2002,men,6,0,152,25765,0.00589947603337861
2002,men,7,0,113,25496,0.00443206777533731
2002,men,8,0,92,24716,0.00372228515941091
2002,men,9,0,124,25512,0.00486045782376921
2002,men,10 least deprived,0,73,25364,0.00287809493770699
2003,men,1 most deprived,0,403,39890,0.0101027826522938
2003,men,2,0,308,35801,0.00860311164492612
2003,men,3,0,204,31843,0.00640643155481582
2003,men,4,0,155,29384,0.0052749795807242
2003,men,5,0,127,27599,0.00460161600057973
2003,men,6,0,122,26761,0.00455887298680916
2003,men,7,0,125,26092,0.00479074045684501
2003,men,8,0,101,26176,0.00385849633251834
2003,men,9,0,97,26118,0.00371391377593996
2003,men,10 least deprived,0,93,26161,0.00355490998050533
2004,men,1 most deprived,0,357,41220,0.0086608442503639
2004,men,2,0,277,36780,0.00753126699293094
2004,men,3,0,222,33296,0.00666746756367131
2004,men,4,0,160,31128,0.00514006682086867
2004,men,5,0,143,29000,0.00493103448275862
2004,men,6,0,149,27815,0.00535682185870933
2004,men,7,0,105,26815,0.00391571881409659
2004,men,8,0,111,27033,0.00410609255354567
2004,men,9,0,101,26767,0.00377330294765943
2004,men,10 least deprived,0,74,26493,0.00279319065413505
2005,men,1 most deprived,0,390,42753,0.00912216686548312
2005,men,2,0,242,38113,0.00634953952719545
2005,men,3,0,225,34221,0.00657491014289471
2005,men,4,0,195,31708,0.0061498675413145
2005,men,5,0,162,29432,0.00550421310138625
2005,men,6,0,149,28072,0.00530777999430037
2005,men,7,0,130,26723,0.00486472327208772
2005,men,8,0,103,26724,0.00385421344110163
2005,men,9,0,87,26852,0.00323998212423656
2005,men,10 least deprived,0,91,25957,0.00350579805062218
2006,men,1 most deprived,0,399,45297,0.00880853036624942
2006,men,2,0,287,38733,0.00740970232101825
2006,men,3,0,199,35554,0.00559711987399449
2006,men,4,0,183,32141,0.00569366230048847
2006,men,5,0,147,30082,0.00488664317532079
2006,men,6,0,131,28887,0.00453491189808564
2006,men,7,0,99,27449,0.00360668876826114
2006,men,8,0,123,26881,0.00457572262936647
2006,men,9,0,91,27064,0.0033624002364765
2006,men,10 least deprived,0,103,26304,0.00391575425790754
2007,men,1 most deprived,0,386,46736,0.00825915782266347
2007,men,2,0,265,40392,0.00656070509011686
2007,men,3,0,245,37226,0.00658142158706281
2007,men,4,0,191,33588,0.0056865547219245
2007,men,5,0,153,31346,0.00488100555094749
2007,men,6,0,111,29475,0.00376590330788804
2007,men,7,0,112,28271,0.00396165682147784
2007,men,8,0,119,27704,0.00429540860525556
2007,men,9,0,103,27667,0.00372284671269021
2007,men,10 least deprived,0,66,26973,0.00244689133578022
2008,men,1 most deprived,0,390,48391,0.00805934987910975
2008,men,2,0,286,41951,0.00681747753331267
2008,men,3,0,239,39312,0.00607956857956858
2008,men,4,0,190,35584,0.00533947841726619
2008,men,5,0,158,32851,0.00480959483729567
2008,men,6,0,124,31191,0.00397550575486519
2008,men,7,0,107,29089,0.00367836639279453
2008,men,8,0,122,28121,0.00433839479392625
2008,men,9,0,101,28154,0.00358741209064431
2008,men,10 least deprived,0,93,27237,0.00341447295957705
2009,men,1 most deprived,0,336,47536,0.00706832716257153
2009,men,2,0,268,42900,0.00624708624708625
2009,men,3,0,225,38903,0.00578361565946071
2009,men,4,0,201,35401,0.00567780571170306
2009,men,5,0,155,33277,0.00465787180334766
2009,men,6,0,135,30346,0.00444869175509128
2009,men,7,0,113,28682,0.00393975315528903
2009,men,8,0,110,27792,0.00395797351755901
2009,men,9,0,105,27584,0.00380655452436195
2009,men,10 least deprived,0,93,26686,0.00348497339428914
2010,men,1 most deprived,0,330,47860,0.00689511073965733
2010,men,2,0,241,43472,0.0055437983069562
2010,men,3,0,226,40041,0.00564421467995305
2010,men,4,0,187,36387,0.00513919806524308
2010,men,5,0,139,33589,0.0041382595492572
2010,men,6,0,129,31004,0.00416075345116759
2010,men,7,0,109,28890,0.00377293181031499
2010,men,8,0,102,28203,0.00361663652802893
2010,men,9,0,92,27745,0.00331591277707695
2010,men,10 least deprived,0,69,27000,0.00255555555555556
2011,men,1 most deprived,0,360,48576,0.00741106719367589
2011,men,2,0,282,43951,0.00641623626311119
2011,men,3,0,238,40706,0.00584680391097136
2011,men,4,0,183,37159,0.00492478269059986
2011,men,5,0,164,34096,0.00480994838104177
2011,men,6,0,148,31190,0.00474511061237576
2011,men,7,0,120,29243,0.00410354614779605
2011,men,8,0,86,28184,0.00305137666761283
2011,men,9,0,87,27808,0.00312859608745685
2011,men,10 least deprived,0,76,26979,0.00281700581934097
2012,men,1 most deprived,0,353,50292,0.00701900898751293
2012,men,2,0,259,46175,0.00560909583107742
2012,men,3,0,209,42004,0.0049757165984192
2012,men,4,0,166,38138,0.00435261419057108
2012,men,5,0,151,34986,0.00431601211913337
2012,men,6,0,129,31557,0.00408784104952942
2012,men,7,0,105,29647,0.00354167369379701
2012,men,8,0,82,29225,0.00280581693755346
2012,men,9,0,97,27955,0.00346986227866214
2012,men,10 least deprived,0,80,26800,0.00298507462686567
2013,men,1 most deprived,0,299,47345,0.00631534480937797
2013,men,2,0,237,44473,0.00532907606862591
2013,men,3,0,188,41629,0.00451608253861491
2013,men,4,0,177,37296,0.00474581724581725
2013,men,5,0,125,33901,0.00368720686705407
2013,men,6,0,112,32348,0.00346234697662916
2013,men,7,0,101,29193,0.00345973349775631
2013,men,8,0,104,28917,0.00359650032852647
2013,men,9,0,82,27216,0.00301293356848912
2013,men,10 least deprived,0,78,24973,0.00312337324310255
2014,men,1 most deprived,0,300,46497,0.00645202916317182
2014,men,2,0,206,43307,0.00475673678620085
2014,men,3,0,160,40610,0.00393991627677912
2014,men,4,0,152,36534,0.00416050801992664
2014,men,5,0,134,32552,0.00411649053821578
2014,men,6,0,106,31602,0.00335421808746282
2014,men,7,0,92,29020,0.00317022742935906
2014,men,8,0,88,28563,0.00308090886811609
2014,men,9,0,74,27056,0.00273506800709639
2014,men,10 least deprived,0,59,24579,0.00240042312543228
2015,men,1 most deprived,0,307,46515,0.00660002149844136
2015,men,2,0,235,43219,0.00543742335546866
2015,men,3,0,197,40450,0.00487021013597033
2015,men,4,0,164,36364,0.004509954900451
2015,men,5,0,124,32997,0.00375791738642907
2015,men,6,0,102,31550,0.00323296354992076
2015,men,7,0,112,29148,0.00384245917387128
2015,men,8,0,102,28350,0.0035978835978836
2015,men,9,0,75,27069,0.00277069710739222
2015,men,10 least deprived,0,72,24567,0.00293076077665161
2016,men,1 most deprived,0,311,46329,0.0067128580370826
2016,men,2,0,219,43324,0.00505493490905734
2016,men,3,0,167,40740,0.00409916543937163
2016,men,4,0,154,36774,0.0041877413389895
2016,men,5,0,131,33493,0.00391126504045621
2016,men,6,0,105,32039,0.00327725584443959
2016,men,7,0,107,29364,0.00364391772238115
2016,men,8,0,83,29018,0.00286029361086222
2016,men,9,0,83,27288,0.00304163002052184
2016,men,10 least deprived,0,73,24829,0.00294011035482702
2017,men,1 most deprived,0,283,45700,0.00619256017505471
2017,men,2,0,212,41850,0.00506571087216249
2017,men,3,0,191,39470,0.00483911831770965
2017,men,4,0,165,36086,0.0045724103530455
2017,men,5,0,131,32753,0.00399963362134766
2017,men,6,0,103,31375,0.00328286852589641
2017,men,7,0,93,28990,0.00320800275957227
2017,men,8,0,102,28115,0.00362795660679353
2017,men,9,0,89,26759,0.00332598378115774
2017,men,10 least deprived,0,68,23937,0.00284079040815474
2018,men,1 most deprived,0,273,42957,0.00635519240170403
2018,men,2,0,199,39435,0.00504627868644605
2018,men,3,0,172,37984,0.00452822240943555
2018,men,4,0,151,34749,0.00434544878989323
2018,men,5,0,109,32334,0.00337106451413373
2018,men,6,0,99,31424,0.00315045824847251
2018,men,7,0,118,29099,0.00405512216914671
2018,men,8,0,92,28200,0.00326241134751773
2018,men,9,0,90,27108,0.00332005312084993
2018,men,10 least deprived,0,66,24019,0.0027478246388276
2001,women,1 most deprived,0,306,35977,0.00850543402729522
2001,women,2,0,235,32042,0.00733412396229948
2001,women,3,0,169,28759,0.00587642129420355
2001,women,4,0,152,27016,0.00562629552857566
2001,women,5,0,89,25451,0.00349691564182154
2001,women,6,0,94,24814,0.00378818408962682
2001,women,7,0,88,24228,0.00363216113587585
2001,women,8,0,71,24216,0.00293194582094483
2001,women,9,0,74,25082,0.00295032294075433
2001,women,10 least deprived,0,79,25195,0.00313554276642191
2002,women,1 most deprived,0,293,37078,0.00790226010032904
2002,women,2,0,202,33262,0.00607299621189345
2002,women,3,0,143,29605,0.00483026515791252
2002,women,4,0,131,26842,0.00488041129573057
2002,women,5,0,97,25201,0.00384905360898377
2002,women,6,0,108,24636,0.00438382854359474
2002,women,7,0,86,23895,0.00359907930529399
2002,women,8,0,71,24178,0.00293655389196791
2002,women,9,0,61,24287,0.00251163173714333
2002,women,10 least deprived,0,73,24013,0.00304001998917253
2003,women,1 most deprived,0,338,38171,0.00885488983783501
2003,women,2,0,239,34025,0.00702424687729611
2003,women,3,0,164,30162,0.00543730521848684
2003,women,4,0,146,27564,0.00529676389493542
2003,women,5,0,102,26180,0.0038961038961039
2003,women,6,0,91,25109,0.0036241984945637
2003,women,7,0,107,24963,0.00428634378880744
2003,women,8,0,87,24747,0.00351557764577525
2003,women,9,0,74,24790,0.00298507462686567
2003,women,10 least deprived,0,62,24362,0.00254494704868237
2004,women,1 most deprived,0,288,39415,0.00730686286946594
2004,women,2,0,211,35513,0.00594148621631515
2004,women,3,0,176,31635,0.00556345819503714
2004,women,4,0,138,29274,0.00471408075425292
2004,women,5,0,129,27491,0.0046924448001164
2004,women,6,0,100,26009,0.00384482294590334
2004,women,7,0,96,25597,0.00375043950462945
2004,women,8,0,79,25250,0.00312871287128713
2004,women,9,0,84,25648,0.00327510917030568
2004,women,10 least deprived,0,68,24908,0.00273004657138269
2005,women,1 most deprived,0,287,41168,0.00697143412359114
2005,women,2,0,206,36502,0.00564352638211605
2005,women,3,0,180,32632,0.00551605785731797
2005,women,4,0,116,30042,0.0038612609014047
2005,women,5,0,108,27786,0.00388684949255021
2005,women,6,0,107,26743,0.00400104700295404
2005,women,7,0,80,26083,0.00306713184833033
2005,women,8,0,86,25294,0.00340001581402704
2005,women,9,0,74,25346,0.00291959283516137
2005,women,10 least deprived,0,60,24625,0.00243654822335025
2006,women,1 most deprived,0,319,43798,0.00728343759989041
2006,women,2,0,218,37033,0.00588664164393919
2006,women,3,0,184,34042,0.00540508783267728
2006,women,4,0,130,30939,0.00420181647758493
2006,women,5,0,108,28880,0.00373961218836565
2006,women,6,0,108,27374,0.00394534960181194
2006,women,7,0,107,26219,0.00408100995461307
2006,women,8,0,99,25596,0.00386779184247539
2006,women,9,0,86,25586,0.00336121316344876
2006,women,10 least deprived,0,71,24946,0.00284614767898661
2007,women,1 most deprived,0,285,44397,0.00641935265896344
2007,women,2,0,206,38320,0.00537578288100209
2007,women,3,0,162,35604,0.00455005055611729
2007,women,4,0,150,32163,0.00466374405372633
2007,women,5,0,119,29722,0.00400376825247292
2007,women,6,0,115,28067,0.0040973385114191
2007,women,7,0,85,26542,0.00320247155451737
2007,women,8,0,96,26430,0.0036322360953462
2007,women,9,0,100,26356,0.00379420245864319
2007,women,10 least deprived,0,58,25624,0.0022635029659694
2008,women,1 most deprived,0,309,46162,0.00669381742558815
2008,women,2,0,217,40375,0.00537461300309598
2008,women,3,0,185,37039,0.00499473527903021
2008,women,4,0,144,34037,0.00423069013132767
2008,women,5,0,112,31475,0.00355837966640191
2008,women,6,0,96,29595,0.00324379118094273
