year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2013,<1,men,1 most deprived,47345,347291,47151.0072532833
2013,<1,men,2,44473,347291,44290.7750675946
2013,<1,men,3,41629,347291,41458.4281539113
2013,<1,men,4,37296,347291,37143.1823110878
2013,<1,men,5,33901,347291,33762.0930804426
2013,<1,men,6,32348,347291,32215.4563867189
2013,<1,men,7,29193,347291,29073.3837732622
2013,<1,men,8,28917,347291,28798.5146634955
2013,<1,men,9,27216,347291,27104.4843891722
2013,<1,men,10 least deprived,24973,347291,24870.6749210316
2013,01-04,men,1 most deprived,186408,1401529,185469.129614871
2013,01-04,men,2,172830,1401529,171959.517141636
2013,01-04,men,3,158396,1401529,157598.21603406
2013,01-04,men,4,144527,1401529,143799.069223684
2013,01-04,men,5,132537,1401529,131869.458562755
2013,01-04,men,6,129178,1401529,128527.376643651
2013,01-04,men,7,120495,1401529,119888.109807218
2013,01-04,men,8,121254,1401529,120643.286995845
2013,01-04,men,9,119073,1401529,118473.271912319
2013,01-04,men,10 least deprived,116831,1401529,116242.564063962
2013,05-09,men,1 most deprived,204643,1631984,204568.013655771
2013,05-09,men,2,189844,1631984,189774.436381729
2013,05-09,men,3,172518,1631984,172454.785064069
2013,05-09,men,4,158791,1631984,158732.814982255
2013,05-09,men,5,150738,1631984,150682.765804077
2013,05-09,men,6,149447,1631984,149392.238858959
2013,05-09,men,7,146366,1631984,146312.367814881
2013,05-09,men,8,148831,1631984,148776.464576859
2013,05-09,men,9,151624,1631984,151568.441151384
2013,05-09,men,10 least deprived,159182,1631984,159123.671710017
2013,10-14,men,1 most deprived,177502,1523725,177019.140041674
2013,10-14,men,2,165591,1523725,165140.541620043
2013,10-14,men,3,152299,1523725,151884.699942575
2013,10-14,men,4,144090,1523725,143698.030943904
2013,10-14,men,5,140963,1523725,140579.537344337
2013,10-14,men,6,142559,1523725,142171.195734138
2013,10-14,men,7,142552,1523725,142164.214776288
2013,10-14,men,8,146142,1523725,145744.448873648
2013,10-14,men,9,151048,1523725,150637.10304681
2013,10-14,men,10 least deprived,160979,1523725,160541.087676582
2013,15-19,men,1 most deprived,185494,1670664,185602.698473182
2013,15-19,men,2,179090,1670664,179194.945764079
2013,15-19,men,3,171944,1670664,172044.75824702
2013,15-19,men,4,164643,1670664,164739.479900806
2013,15-19,men,5,160698,1670664,160792.168152304
2013,15-19,men,6,156605,1670664,156696.769676608
2013,15-19,men,7,160028,1670664,160121.775535955
2013,15-19,men,8,158672,1670664,158764.980927344
2013,15-19,men,9,167084,1670664,167181.910313504
2013,15-19,men,10 least deprived,166406,1670664,166503.513009199
2013,20-24,men,1 most deprived,203684,1829362,202849.717768271
2013,20-24,men,2,218160,1829362,217266.424600489
2013,20-24,men,3,224896,1829362,223974.834190281
2013,20-24,men,4,217218,1829362,216328.282998116
2013,20-24,men,5,191008,1829362,190225.638201734
2013,20-24,men,6,171336,1829362,170634.213995918
2013,20-24,men,7,164965,1829362,164289.309379445
2013,20-24,men,8,158731,1829362,158080.843615971
2013,20-24,men,9,150658,1829362,150040.910329394
2013,20-24,men,10 least deprived,128706,1829362,128178.824920382
2013,25-29,men,1 most deprived,210701,1840624,206638.482185933
2013,25-29,men,2,230684,1840624,226236.190737489
2013,25-29,men,3,241007,1840624,236360.153374616
2013,25-29,men,4,220525,1840624,216273.066022718
2013,25-29,men,5,195669,1840624,191896.313595281
2013,25-29,men,6,180166,1840624,176692.226337373
2013,25-29,men,7,160589,1840624,157492.689715553
2013,25-29,men,8,153129,1840624,150176.525686398
2013,25-29,men,9,137627,1840624,134973.419147528
2013,25-29,men,10 least deprived,110527,1840624,108395.933197111
2013,30-34,men,1 most deprived,201576,1831757,201726.761875074
2013,30-34,men,2,221423,1831757,221588.605759934
2013,30-34,men,3,231466,1831757,231639.117078302
2013,30-34,men,4,216726,1831757,216888.092799427
2013,30-34,men,5,195294,1831757,195440.063468026
2013,30-34,men,6,182981,1831757,183117.854380794
2013,30-34,men,7,165056,1831757,165179.447990099
