year,age,sex,pops
2,30,men,366897
2,30,women,370491
2,31,men,377103
2,31,women,381444
2,32,men,374912
2,32,women,377283
2,33,men,383594
2,33,women,388094
2,34,men,387009
2,34,women,391246
2,35,men,397843
2,35,women,399307
2,36,men,396699
2,36,women,401344
2,37,men,397070
2,37,women,402816
2,38,men,392680
2,38,women,399027
2,39,men,385959
2,39,women,391921
2,40,men,376921
2,40,women,382132
2,41,men,367213
2,41,women,370966
2,42,men,354245
2,42,women,356365
2,43,men,346943
2,43,women,349210
2,44,men,342232
2,44,women,343902
2,45,men,327481
2,45,women,331994
2,46,men,315865
2,46,women,321217
2,47,men,307121
2,47,women,313389
2,48,men,309067
2,48,women,315278
2,49,men,306370
2,49,women,311819
2,50,men,303735
2,50,women,309319
2,51,men,305069
2,51,women,310817
2,52,men,313462
2,52,women,320744
2,53,men,324260
2,53,women,330373
2,54,men,348274
2,54,women,354829
2,55,men,368921
2,55,women,374778
2,56,men,298386
2,56,women,304597
2,57,men,291478
2,57,women,297589
2,58,men,285281
2,58,women,290940
2,59,men,271444
2,59,women,277556
2,60,men,243234
2,60,women,250828
2,61,men,226952
2,61,women,235186
2,62,men,236188
2,62,women,245684
2,63,men,236205
2,63,women,246546
2,64,men,233671
2,64,women,243353
2,65,men,226125
2,65,women,237617
2,66,men,217647
2,66,women,231560
2,67,men,209773
2,67,women,224840
2,68,men,198855
2,68,women,216599
2,69,men,194842
2,69,women,216174
2,70,men,193179
2,70,women,217596
2,71,men,188833
2,71,women,219375
2,72,men,180295
2,72,women,215105
2,73,men,170460
2,73,women,207559
2,74,men,160873
2,74,women,199323
2,75,men,155205
2,75,women,196960
2,76,men,147096
2,76,women,193097
2,77,men,136824
2,77,women,187076
2,78,men,127754
2,78,women,182195
2,79,men,119101
2,79,women,177527
2,80,men,114347
2,80,women,177907
2,81,men,109168
2,81,women,178817
2,82,men,98820
2,82,women,166210
2,83,men,66791
2,83,women,118392
2,84,men,50549
2,84,women,95447
2,85,men,48841
2,85,women,97889
2,86,men,43992
2,86,women,94070
2,87,men,39748
2,87,women,90916
2,88,men,32969
2,88,women,80479
2,89,men,26419
2,89,women,69046
2,90,men,21951
2,90,women,58115
2,91,men,16351
2,91,women,47656
2,92,men,12381
2,92,women,39216
2,93,men,8781
2,93,women,30847
2,94,men,6270
2,94,women,24058
2,95,men,4210
2,95,women,17408
2,96,men,2670
2,96,women,12359
2,97,men,1720
2,97,women,8519
2,98,men,980
2,98,women,5989
2,99,men,1300
2,99,women,9790
3,30,men,353423
3,30,women,352285
3,31,men,367451
3,31,women,371952
3,32,men,377927
3,32,women,383497
3,33,men,374888
3,33,women,378590
3,34,men,383513
3,34,women,389125
3,35,men,388295
3,35,women,390749
3,36,men,398720
3,36,women,398422
3,37,men,397475
3,37,women,400833
3,38,men,397852
3,38,women,402485
3,39,men,393812
3,39,women,398708
3,40,men,385459
3,40,women,391787
3,41,men,376722
3,41,women,382007
3,42,men,366963
3,42,women,370624
3,43,men,353894
3,43,women,356147
3,44,men,346579
3,44,women,349037
3,45,men,341619
3,45,women,343294
3,46,men,327002
3,46,women,331475
3,47,men,315466
3,47,women,320716
3,48,men,306371
3,48,women,312591
3,49,men,308363
3,49,women,314545
3,50,men,305541
3,50,women,310428
3,51,men,302317
3,51,women,307496
3,52,men,303752
3,52,women,309105
3,53,men,311784
3,53,women,318990
3,54,men,322401
3,54,women,328384
3,55,men,344951
3,55,women,351781
3,56,men,366622
3,56,women,372844
3,57,men,295088
3,57,women,301600
3,58,men,288295
3,58,women,294864
3,59,men,282876
3,59,women,288747
3,60,men,268474
3,60,women,275800
3,61,men,240396
3,61,women,249379
3,62,men,223570
3,62,women,233144
3,63,men,232657
3,63,women,243626
3,64,men,232514
3,64,women,244477
3,65,men,229079
3,65,women,241052
3,66,men,221276
3,66,women,235011
3,67,men,212915
3,67,women,228872
3,68,men,205009
3,68,women,222127
3,69,men,193606
3,69,women,213520
3,70,men,189362
3,70,women,212621
3,71,men,187386
3,71,women,213805
3,72,men,182296
3,72,women,214972
3,73,men,173494
3,73,women,210314
3,74,men,163385
3,74,women,202349
3,75,men,153582
3,75,women,193672
3,76,men,147338
3,76,women,190447
3,77,men,138887
3,77,women,186014
3,78,men,128429
3,78,women,179548
3,79,men,119122
3,79,women,174034
3,80,men,110295
3,80,women,168621
3,81,men,104995
3,81,women,168156
3,82,men,99063
3,82,women,167659
3,83,men,88554
3,83,women,154219
3,84,men,60170
3,84,women,110124
3,85,men,44318
3,85,women,87127
3,86,men,42504
3,86,women,88293
3,87,men,37412
3,87,women,83810
3,88,men,33611
3,88,women,80023
3,89,men,27297
3,89,women,69670
3,90,men,22762
3,90,women,60148
3,91,men,17354
3,91,women,48629
3,92,men,12676
3,92,women,38979
3,93,men,9257
3,93,women,31239
3,94,men,6408
3,94,women,24119
3,95,men,4468
3,95,women,18300
3,96,men,2889
3,96,women,12970
3,97,men,1809
3,97,women,8910
3,98,men,1160
3,98,women,5950
3,99,men,1370
3,99,women,10220
4,30,men,336884
4,30,women,334879
4,31,men,354321
4,31,women,353338
4,32,men,368052
4,32,women,372145
4,33,men,378466
4,33,women,383967
4,34,men,374778
4,34,women,378789
4,35,men,383447
4,35,women,390227
4,36,men,387622
4,36,women,391700
4,37,men,398022
4,37,women,398909
4,38,men,396723
4,38,women,401380
4,39,men,397095
4,39,women,403183
4,40,men,391955
4,40,women,398963
4,41,men,383683
4,41,women,391730
4,42,men,375644
4,42,women,382033
4,43,men,365450
4,43,women,370255
4,44,men,352637
